ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2019-04-02,17℃,12℃,多云~阴,东南风,3级,57,良,2
2019-04-03,18℃,11℃,多云,东南风,2级,72,良,2
2019-04-04,17℃,13℃,小雨,东南风,2级,56,良,2
2019-04-05,23℃,14℃,多云~晴,西南风,2级,88,良,2
2019-04-06,26℃,15℃,多云,西南风,2级,86,良,2
2019-04-07,29℃,16℃,晴,西南风,2级,113,轻度污染,3
2019-04-08,26℃,17℃,多云~小雨,东南风,3级,106,轻度污染,3
2019-04-09,25℃,11℃,中雨~小雨,西南风,4级,54,良,2
2019-04-10,16℃,11℃,阴~小雨,西北风,3级,34,优,1
2019-04-11,15℃,9℃,小雨~晴,东北风,2级,40,优,1
2019-04-12,19℃,12℃,晴,东南风,2级,75,良,2
2019-04-13,20℃,14℃,多云,东南风,3级,45,优,1
2019-04-14,20℃,10℃,多云,东北风,3级,64,良,2
2019-04-15,20℃,13℃,多云,东南风,2级,65,良,2
2019-04-16,19℃,13℃,小雨~晴,东南风,3级,50,优,1
2019-04-17,27℃,16℃,晴,东南风,2级,63,良,2
2019-04-18,28℃,19℃,多云,东南风,3级,72,良,2
2019-04-19,26℃,18℃,多云~阴,东南风,3级,63,良,2
2019-04-20,24℃,18℃,多云~小雨,东南风,3级,34,优,1
2019-04-21,24℃,19℃,小雨,东南风,3级,39,优,1
2019-04-22,22℃,19℃,小雨,东南风,3级,30,优,1
2019-04-23,28℃,19℃,小雨,西北风,2级,58,良,2
2019-04-24,25℃,17℃,小雨~阴,东北风,2级,124,轻度污染,3
2019-04-25,25℃,14℃,小雨~多云,东北风,2级,49,优,1
2019-04-26,18℃,12℃,多云~晴,东北风,3级,42,优,1
2019-04-27,18℃,15℃,多云~小雨,东南风,3级,37,优,1
2019-04-28,21℃,17℃,小雨~多云,东南风,2级,42,优,1
2019-04-29,20℃,15℃,中雨~小雨,西北风,2级,50,优,1
2019-04-30,18℃,14℃,小雨~多云,东北风,2级,34,优,1
2019-05-01,23℃,13℃,阴~多云,西北风,3级,91,良,2
2019-05-02,24℃,13℃,多云~晴,东北风,2级,72,良,2
